"Story","Title","Result","Date","Stability","Duration (s)"
"First serenity test1","Test","SUCCESS","2020-09-04T16:31:08.955+05:30[Asia/Calcutta]","0.0","328.59"
"First serenity test","Get all students","SUCCESS","2020-09-04T16:31:09.012+05:30[Asia/Calcutta]","0.0","328.51"
"Students CRUD test","This test will create a new student","FAILURE","2020-09-04T16:31:09.22+05:30[Asia/Calcutta]","0.0","328.35"
"First serenity test1","Wrong err code","FAILURE","2020-09-04T16:36:52.967+05:30[Asia/Calcutta]","0.0","3.71"
"Students CRUD test","Verify if the student was added to the application","ERROR","2020-09-04T16:36:52.991+05:30[Asia/Calcutta]","0.0","21.41"
"Students CRUD test","Update the user information and verify the updated information!","ERROR","2020-09-04T16:37:14.442+05:30[Asia/Calcutta]","0.0","6.57"
"Students CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2020-09-04T16:37:24.454+05:30[Asia/Calcutta]","0.0","3.49"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2020-09-04T16:37:48.183+05:30[Asia/Calcutta]","0.0","14.56"
"Tags test","Provide a 405 status code when incorrect HTTP method is used to access a resource","SUCCESS","2020-09-04T16:38:02.756+05:30[Asia/Calcutta]","0.0","4.3"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2020-09-04T16:38:07.058+05:30[Asia/Calcutta]","0.0","6.34"
"Create students data driven test","DataDriven Test for adding multiple students to the Student App.","FAILURE","2020-09-04T16:39:02.776+05:30[Asia/Calcutta]","0.0","5040.48"
